group,n,brier_model_prob_raw,logloss_model_prob_raw,ece_model_prob_raw,brier_model_prob_recal,logloss_model_prob_recal,ece_model_prob_recal,brier_market_prob,logloss_market_prob,ece_market_prob,brier_blend_75m_25mk,logloss_blend_75m_25mk,ece_blend_75m_25mk,brier_blend_50_50,logloss_blend_50_50,ece_blend_50_50,brier_blend_25m_75mk,logloss_blend_25m_75mk,ece_blend_25m_75mk
ALL,918,0.10215480494251633,0.3122581065513859,0.06595087332905082,0.1007723832482058,0.35787195380348596,0.05298148440916019,0.10025106209150327,0.3077530120329825,0.010593681917211327,0.09335481414453314,0.286072698107567,0.05424800729336309,0.09079540425052517,0.2800643634356482,0.05282991172164724,0.09309415356618188,0.28757998586851585,0.04029865120392727
contract_type=bin_between,612,0.13998592582655925,0.4201147356713368,0.10615816789534327,0.13668446312820903,0.4727086257839123,0.09355969544045142,0.13090277777777778,0.3982705433299037,0.009117647058823525,0.12791074873743077,0.38313800186757946,0.0780935703640943,0.12402256304876616,0.37334637174497637,0.06547653857422421,0.12501990606221516,0.3796840418321235,0.04068296869789459
contract_type=threshold_greater,153,0.01650696598969156,0.06854123553831123,0.04597595668532624,0.01942480775903818,0.10109138517693275,0.05429409027667073,0.029027450980392153,0.09383890519218445,0.04098039215686275,0.01570046800639857,0.07050410314958225,0.05223734318372697,0.016059461959077703,0.07138402258447993,0.046057018294006366,0.020501789617075564,0.07851098731499452,0.04766335182495023
contract_type=threshold_less,153,0.03647816035916956,0.12454846108465706,0.02647007841097958,0.03847163921736042,0.155305834508332,0.03405679155934004,0.04886781045751634,0.15959699368609484,0.014803921568627452,0.03278542191107712,0.11338007802550358,0.035385491291539194,0.03262271134900866,0.11561667104950339,0.04332505755512084,0.03798350753115507,0.12823276056760824,0.04803908104321088
city=austin,102,0.0967635732133883,0.28407863385188203,0.0772383836529932,0.09353139449232444,0.3158199876119448,0.06685860806345459,0.08443088235294118,0.2677603585629722,0.049901960784313734,0.08422074550652774,0.252429655169995,0.07189473251058974,0.07960044382136494,0.2443759582832988,0.07183648472541446,0.07967048943683609,0.25022476338335753,0.05383287764605107
city=boston,102,0.09027240414201317,0.28310639244626457,0.06371784283136032,0.08811913242186563,0.28864816657543024,0.026406156652463323,0.11642647058823528,0.35483279263573414,0.06549019607843137,0.08756371429928682,0.28325833220254154,0.039389550376485,0.09209646461948885,0.29484086967589535,0.05193305797492809,0.10171738338247166,0.3168244011381092,0.04671931391147927
city=chicago,102,0.12384953689420404,0.4005746917486171,0.0748065216726316,0.13966541392353707,0.5811958149357117,0.11477734806438641,0.10957573529411764,0.3412147673364554,0.0444607843137255,0.12564559135447065,0.3879721581927473,0.09239166257655097,0.11595737072654529,0.3547815836783198,0.07662564862563027,0.11060075203976094,0.34207539714446866,0.060099674251380436
city=denver,102,0.11366420151896467,0.34190207980275494,0.06767917775534552,0.12731148606959883,0.4651114496851419,0.10777965975227867,0.08977230392156862,0.2840602432207315,0.06710784313725492,0.11007228295022033,0.3178859499100344,0.09081572311700957,0.09806935155242247,0.2918059781974314,0.07152078578002652,0.09130269187620524,0.28255367188066566,0.07527567026984426
city=la,102,0.08996782189356768,0.2761024989198145,0.07624422623963784,0.07934684980178389,0.2587356362026011,0.035882267484594346,0.08709534313725491,0.2718653967902598,0.04357843137254903,0.07265936942219076,0.23254406563804003,0.0655096097305658,0.07172162485157156,0.2328577934124001,0.08660736843253798,0.07653361608992627,0.2447529424139519,0.08461782231000226
city=miami,102,0.09356826324076181,0.3079454566361801,0.08315744394481661,0.08573230571547297,0.3542746465593137,0.06824075401941752,0.10879289215686273,0.32721693513098066,0.03769607843137256,0.08045808293523428,0.2621717025710242,0.0918174516630368,0.08254343974871968,0.26562077424207325,0.05214187324088262,0.09198837615592917,0.28717242733393883,0.07778943322671629
city=nyc,102,0.10878048226453238,0.3244001531796738,0.07560184760331588,0.101488012111014,0.32475786563488257,0.03180903578682651,0.09845294117647058,0.2980000853269387,0.04088235294117647,0.09362779041113084,0.28639450246531195,0.06661614006813639,0.09050187135541256,0.2776619039962332,0.07579114549801583,0.09211025494385912,0.28126809836740235,0.09194371360061988
city=philadelphia,102,0.09911922401462453,0.28112309217803905,0.10518185433299686,0.09000549695200918,0.2672868568931802,0.08148596298669314,0.10734877450980392,0.32131089230286447,0.07799019607843138,0.09011048560799632,0.27359817284002264,0.07360092127387464,0.09303602808629115,0.28470374296680656,0.05528923194957764,0.09878212438689368,0.300382868412026,0.05853598111224339
city=phoenix,102,0.1034077373005905,0.31108996019924945,0.07889021443210668,0.10175135774624607,0.36501716013315805,0.07326589106054748,0.1003642156862745,0.3035156369899002,0.07127450980392157,0.09583526481374054,0.2783997439783875,0.07405127990727883,0.0936320434929101,0.27393066646837155,0.061401980742443255,0.09514169378375475,0.2829653027427271,0.12224606113720139
price_bucket=0.05-0.15,157,0.07648064977419888,0.26132525261035416,0.0373620040343015,0.07879852525661625,0.28953846606501005,0.05741397408402553,0.09723312101910829,0.34623496720214847,0.04006369426751592,0.07844145749638948,0.27263768929459714,0.03498343675874918,0.08139486753672921,0.28295717697982253,0.03406035859653462,0.0876587553776355,0.3042588167470219,0.04554093333705482
price_bucket=0.15-0.30,136,0.1408236562554179,0.43389233899603313,0.08559695328989632,0.13092626114990588,0.4940935985823324,0.08924246734075512,0.17370514705882353,0.5295780478408548,0.011176470588235288,0.13120417733508324,0.40633077209575297,0.0757622208588451,0.13842663038162864,0.4286698308650024,0.0947733207231412,0.1525936202895421,0.469525070696617,0.11763713866870515
price_bucket=0.30-0.45,119,0.2079437463737226,0.5991099502931787,0.14968733203109638,0.21106994483337838,0.6777298882996902,0.1357409671872424,0.2299531512605042,0.6525771442297631,0.02499999999999996,0.20152903222948101,0.5876322603629116,0.12728879043134514,0.20149592909936953,0.5875820318097185,0.13744289991029496,0.21097063544304392,0.6108483711483016,0.10893252662449791
price_bucket=0.45-0.55,63,0.3213841739911332,0.9604054422645718,0.30049773419508213,0.3225690749458969,1.1244746575250475,0.3018466419726263,0.2531710317460317,0.6995069041215445,0.0654761904761905,0.28546969495879215,0.7959065653440115,0.22137644764119746,0.26153689442977973,0.7213550789501245,0.15427654903550167,0.25077067335885955,0.6951558102833695,0.11792959215000583
price_bucket=0.55-0.70,38,0.36401152901358685,1.019453782549794,0.3623450201165942,0.3285932301950001,1.0620153151804468,0.32560044913792713,0.2459131578947369,0.6859948869708712,0.12447368421052626,0.2852734696389348,0.7793721963513219,0.23039716281007494,0.2570535374035358,0.7086762021837003,0.15482617871548854,0.2439334334888032,0.6810652345544922,0.10407685820199045
price_bucket=0.70-0.85,4,0.16450140064884963,0.43936665599281916,0.22932917316692672,0.19820368140504277,0.562186281545557,0.23282266368450777,0.07379374999999999,0.31663101534536164,0.27125,0.13971840778322386,0.3931414228815049,0.2424294977633807,0.09948832800844373,0.332438853948328,0.2520363318422538,0.07751344208070245,0.31260468562948446,0.2616431659211269
price_bucket=0.85-0.95,1,0.5843541073936249,1.4457496201057458,0.7644305772230889,0.5262011725034704,1.292429776643695,0.7253972515135899,0.012099999999999998,0.11653381625595151,0.10999999999999999,0.32666704615813774,0.847576422664188,0.5715479386351925,0.17447214195911503,0.5407671401157356,0.41769862575679495,0.06961645990640251,0.30632044327225205,0.2638493128783975
strike_dist_-12_to_-6,37,1.1313856441764523e-05,0.0012706239040319815,0.0012649154614833243,0.0002768738392303898,0.01380700369729351,0.01366633605533887,0.0010513513513513513,0.02190531673020072,0.021351351351351355,0.000334769648243302,0.01575792946933787,0.01558758987934199,0.0004831478366010996,0.01775688150966857,0.01750884370334511,0.0007220084043037828,0.019805445832557902,0.01943009752734823
strike_dist_-6_to_-3,136,0.0013128890760842876,0.015098206943086154,0.014361750940625861,0.0030921958809825264,0.024954073878099184,0.022912190762951694,0.014942279411764703,0.07916987000001202,0.06948529411764705,0.0038917846710631336,0.03699731288291213,0.034555466601625534,0.006133328189553699,0.04993011576795747,0.04619874244029938,0.009816826436454222,0.06391208982356995,0.05784201827897322
strike_dist_-3_to_-1,165,0.022426813396461544,0.1102139254131032,0.09583510613151798,0.032471669504432706,0.12286748831654253,0.1002495078151563,0.0897571212121212,0.29858183028047514,0.17827272727272728,0.035274188644982704,0.15533809088193806,0.13196743389167026,0.045755936976447455,0.19398458775136046,0.1529706251494608,0.06391691449882696,0.24042105204588143,0.16209486649941476
strike_dist_-1_to_+1,164,0.5015987508340941,1.4083344135842257,0.6090997298428522,0.473737845464437,1.5945362195993062,0.5715612655060774,0.34879314024390246,0.9458086655079412,0.4808841463414635,0.4280706551852612,1.1545730609531946,0.5409991848827208,0.3920241408887801,1.0339791069568818,0.5163915021154633,0.3655983025749939,0.9692535155128057,0.4986378242284633
strike_dist_+1_to_+3,172,0.04014142498000468,0.17783470604728022,0.11700468018720749,0.048936707414159716,0.21410700557998036,0.11481925793352761,0.09001293604651163,0.3029731852197391,0.1751453488372093,0.049257221654051817,0.19883957390402004,0.13299375897341992,0.05621009783940783,0.222442713325588,0.1495148425139467,0.06979533597022777,0.25543754911008987,0.16197964221243974
strike_dist_+3_to_+6,180,0.004008595081192743,0.02600432287144697,0.023123591610331083,0.0031912648995586442,0.026525810486259793,0.0243407892700006,0.01358027777777778,0.07555002308688605,0.0668888888888889,0.003521876047557757,0.03708678402301162,0.03497781417472268,0.005363581909927317,0.04870623689263108,0.04561483907944475,0.008716382486667323,0.06146954444655644,0.05625186398416682
strike_dist_+6_to_+12,61,0.00017455494772308734,0.0021653034015256772,0.0020715582721669524,0.0005811768689158839,0.01978980258348733,0.019490537457155975,0.0003389344262295082,0.013698577520857682,0.013524590163934426,0.00045445511594615045,0.018231428440379643,0.017999050633850582,0.00037184079117517677,0.01669701406246845,0.0165075638105452,0.0003333338946029627,0.015186179332691075,0.015016076987239812
